slot,name,headline,profile_url,city,proof_bar,variant,status,sent_on,followup_on,replied,applied,notes
1,,,,,,,todo,,,,
2,,,,,,,todo,,,,
3,,,,,,,todo,,,,
4,,,,,,,todo,,,,
5,,,,,,,todo,,,,
6,,,,,,,todo,,,,
7,,,,,,,todo,,,,
8,,,,,,,todo,,,,
9,,,,,,,todo,,,,
10,,,,,,,todo,,,,
11,,,,,,,todo,,,,
12,,,,,,,todo,,,,
13,,,,,,,todo,,,,
14,,,,,,,todo,,,,
15,,,,,,,todo,,,,
16,,,,,,,todo,,,,
17,,,,,,,todo,,,,
18,,,,,,,todo,,,,
19,,,,,,,todo,,,,
20,,,,,,,todo,,,,
21,,,,,,,todo,,,,
22,,,,,,,todo,,,,
23,,,,,,,todo,,,,
24,,,,,,,todo,,,,
25,,,,,,,todo,,,,
26,,,,,,,todo,,,,
27,,,,,,,todo,,,,
28,,,,,,,todo,,,,
29,,,,,,,todo,,,,
30,,,,,,,todo,,,,
31,,,,,,,todo,,,,
32,,,,,,,todo,,,,
33,,,,,,,todo,,,,
34,,,,,,,todo,,,,
35,,,,,,,todo,,,,
36,,,,,,,todo,,,,
37,,,,,,,todo,,,,
38,,,,,,,todo,,,,
39,,,,,,,todo,,,,
40,,,,,,,todo,,,,
41,,,,,,,todo,,,,
42,,,,,,,todo,,,,
43,,,,,,,todo,,,,
44,,,,,,,todo,,,,
45,,,,,,,todo,,,,
46,,,,,,,todo,,,,
47,,,,,,,todo,,,,
48,,,,,,,todo,,,,
49,,,,,,,todo,,,,
50,,,,,,,todo,,,,
